   27   24.84      0.973    0.00622    0.0967    0.0684 0.3707 0.0095 -84.49   0.91  441.00   0.18  297.00   0.13  -0.0348 0.0046  0.132 2.23241  0.0302 0.00696 0.00692       1844.6       2419.2   -8.16   -8.46   1221   1933   -0.0189 0.00753   -0.0166 0.00747    0.0349 0.00752    0.0235 0.00675   121     0   1  0     INDEF   2.0
   28   27.32      0.889    0.00739     0.121    0.0855 0.3707 0.0136 -84.49   1.31  441.00   0.28  297.00   0.20  -0.0216 0.0039  0.182 2.28624   0.128 0.00906 0.00899       2081.1       2753.7    -8.3    -8.6   1475   2361   -0.0311  0.0115   -0.0374  0.0121    0.0238 0.00893    0.0665  0.0144   134     0   1  0     INDEF   2.0
   29   30.05       0.83    0.00781     0.134    0.0948 0.3707 0.0187 -84.49   1.80  441.00   0.43  297.00   0.30  -0.0165 0.0035  0.214 2.34137   0.202  0.0103  0.0102       2345.4       3094.7   -8.43   -8.73   1779   2837   -0.0175  0.0148   -0.0432  0.0171   -0.0163  0.0125    0.0927  0.0232   147     0   1  0     INDEF   2.0
   30   33.06       0.78    0.00716     0.129    0.0911 0.3707 0.0216 -84.49   2.08  441.00   0.54  297.00   0.38  -0.0121 0.0031  0.254 2.39783   0.269    0.01 0.00991       2646.1       3482.4   -8.56   -8.85   2149   3425   0.00646  0.0166    -0.058  0.0221   -0.0649  0.0217    0.0843  0.0257   162     0   1  0     INDEF   2.0
   31   36.36       0.74    0.00718     0.135    0.0957 0.3707 0.0177 -84.49   1.70  441.00   0.49  297.00   0.34   -0.014 0.0029  0.208 2.45565   0.326  0.0106  0.0105       2999.2       3943.9   -8.69   -8.99   2609   4165    0.0431  0.0161   -0.0406  0.0158   -0.0674  0.0184    0.0362  0.0142   178     0   1  0     INDEF   2.0
   32   40.00      0.689    0.00784     0.155      0.11 0.3707 0.0060 -84.49   0.58  441.00   0.18  297.00   0.13    -0.04  INDEF  INDEF 2.51487   0.404  0.0124  0.0123       3402.3       4445.5   -8.83   -9.12   3171   5025    0.0138   0.012    0.0141  0.0121    -0.031  0.0251   0.00551 0.00592   196     0   1  0     INDEF   2.0
   33   44.00      0.632    0.00806     0.167     0.118 0.3707 0.0069 -84.49   0.67  441.00   0.23  297.00   0.16   -0.032  INDEF  INDEF 2.57551   0.498  0.0139  0.0138       3833.3       5010.4   -8.96   -9.25   3819   6077   0.00381  0.0059    0.0315  0.0257   -0.0396   0.032  -2.94E-4 0.00428   215     0   1  0     INDEF   2.0
   34   48.40      0.577    0.00921       0.2     0.142 0.3707  INDEF -84.49  INDEF  441.00  INDEF  297.00  INDEF  -0.0256  INDEF  INDEF 2.63761   0.596  0.0175  0.0172       4329.8       5615.2   -9.09   -9.37   4631   7377    -0.028  0.0246    0.0361  0.0306   -0.0377  0.0317   -0.0118  0.0136   237     0   1  4     INDEF   2.0
   35   53.24      0.551     0.0104     0.238     0.169 0.3707  INDEF -84.49  INDEF  441.00  INDEF  297.00  INDEF  -0.0139 0.0023  0.168 2.70122   0.647  0.0208  0.0204       4882.1       6227.4   -9.22   -9.49   5603   8921   -0.0965  0.0249    0.0482  0.0205   -0.0522  0.0205   0.00265  0.0186   261     0   1  4     INDEF   2.0
   36   58.56      0.477    0.00685     0.164     0.116 0.3707  INDEF -84.49  INDEF  441.00  INDEF  297.00  INDEF  -0.0111 0.0017  0.157 2.76635   0.804  0.0157  0.0155       5499.2       6853.8   -9.35   -9.59   6783  10773   -0.0578  0.0169     0.054  0.0166   -0.0162  0.0142    0.0446  0.0156   287     0   1  4     INDEF   2.0
   37   64.42      0.408    0.00478      0.12    0.0849 0.3707  INDEF -84.49  INDEF  441.00  INDEF  297.00  INDEF  -0.0121 0.0011 0.0897 2.83306   0.974  0.0128  0.0126       6125.6       7483.6   -9.47   -9.69   8205  13053   -0.0261 0.00888   0.00776 0.00859    0.0131  0.0085    0.0236  0.0087   316     0   1  4     INDEF   2.0
   38   70.86      0.327    0.00286    0.0753    0.0533 0.3707  INDEF -84.49  INDEF  441.00  INDEF  297.00  INDEF -0.00519 0.0011  0.218 2.90138    1.21 0.00953 0.00945       6751.4       8086.6   -9.57   -9.77   9925  15785   7.18E-5  0.0109   -0.0337  0.0131    0.0103  0.0109    0.0418   0.014   347     0   1  4     INDEF   2.0
   39   77.95      0.291    0.00577      0.16     0.113 0.3707  INDEF -84.49  INDEF  441.00  INDEF  297.00  INDEF -0.00494 8.5E-4  0.173 2.97134    1.34  0.0217  0.0213       7410.3        8719.   -9.67   -9.85  12013  19089    0.0203  0.0206     -0.12   0.029   -0.0317  0.0195     0.147  0.0316   382     0   1  4     INDEF   2.0
   40   85.74      0.253    0.00329    0.0955    0.0675 0.3707  INDEF -84.49  INDEF  441.00  INDEF  297.00  INDEF -0.00419 6.7E-4   0.16 3.04299    1.49  0.0142  0.0141       8094.5       9325.2   -9.77   -9.92  14543  23101    0.0653  0.0164  -0.00963  0.0127   -0.0392  0.0135    0.0726  0.0167   420     0   1  4     INDEF   2.0
   41   94.32      0.216    0.00294    0.0893    0.0631 0.3707  INDEF -84.49  INDEF  441.00  INDEF  297.00  INDEF -0.00603 5.0E-4  0.083 3.11637    1.66  0.0148  0.0146       8829.5       9941.4   -9.86   -9.99  17577  27945   0.00829 0.00733  -0.00547 0.00731   -0.0118 0.00693    0.0515  0.0081   462     0   1  4     INDEF   2.0
   42  103.75      0.158    0.00235     0.075     0.053 0.3707  INDEF -84.49  INDEF  441.00  INDEF  297.00  INDEF -0.00415 4.2E-4  0.102 3.19151      2.  0.0163   0.016       9540.5       10552.   -9.95   -10.1  21285  33793   -0.0064 0.00776  -0.00256 0.00774   -0.0147 0.00771    0.0322 0.00827   508     0   1  4     INDEF   2.0
   43  114.12      0.115    0.00247    0.0825    0.0583 0.3707  INDEF -84.49  INDEF  441.00  INDEF  297.00  INDEF   -0.003 2.9E-4 0.0962 3.26847    2.35  0.0236  0.0231       10149.       11074.    -10.   -10.1  25763  40921   -0.0112  0.0102    0.0237  0.0104    0.0113 0.00997    0.0472  0.0109   559     0   1  4     INDEF   2.0
   44  125.54     0.0793     0.0013    0.0457    0.0323 0.3707  INDEF -84.49  INDEF  441.00  INDEF  297.00  INDEF  -0.0012 1.8E-4  0.154 3.34729    2.75   0.018  0.0177       10680.       11522.   -10.1   -10.2  31173  49501   -0.0405  0.0136    0.0136  0.0123    0.0204  0.0121    0.0698  0.0159   615     0   1  4     INDEF   2.0
   45  138.09      0.066    0.00109    0.0402    0.0284 0.3707  INDEF -84.49  INDEF  441.00  INDEF  297.00  INDEF -6.47E-4 1.6E-4  0.247 3.42800    2.95  0.0181  0.0178       11158.       11920.   -10.1   -10.2  37713  59917   -0.0457  0.0206   0.00129  0.0172    0.0463  0.0204    0.0596  0.0225   676     0   1  4     INDEF   2.0
   46  151.90     0.0591    0.00125    0.0481     0.034 0.3707  INDEF -84.49  INDEF  441.00  INDEF  297.00  INDEF -0.00119 1.0E-4 0.0836 3.51066    3.07  0.0231  0.0227       11644.       12309.   -10.2   -10.2  45623  72457    0.0437  0.0101     0.054  0.0104   0.00169 0.00923    0.0444 0.00998   744     0   1  4     INDEF   2.0
   47  167.09      0.041    8.66E-4     0.035    0.0248 0.3707  INDEF -84.49  INDEF  441.00  INDEF  297.00  INDEF -7.02E-4 1.0E-4  0.149 3.59532    3.47  0.0232  0.0227       12135.       12683.   -10.2   -10.3  55189  87725    0.0255   0.011    0.0445  0.0122   0.00196  0.0102    0.0388  0.0117   818     0   1  4     INDEF   2.0
   48  183.80     0.0278    7.82E-4    0.0332    0.0234 0.3707  INDEF -84.49  INDEF  441.00  INDEF  297.00  INDEF -3.56E-4 9.2E-5  0.259 3.68202    3.89  0.0309  0.0301       12564.       13031.   -10.2   -10.3  66789 106073    0.0563  0.0222    0.0591  0.0227   -0.0348  0.0185      0.12  0.0352   900     0   1  4     INDEF   2.0
   49  202.18     0.0211    8.05E-4    0.0358    0.0253 0.3707  INDEF -84.49  INDEF  441.00  INDEF  297.00  INDEF -2.66E-4 4.9E-5  0.184 3.77080    4.19  0.0423  0.0407       12937.       13412.   -10.3   -10.3  80825 128385    0.0271  0.0217    0.0309  0.0219    -0.112  0.0288     0.183  0.0391   990     0   1  4     INDEF   2.0
   50  222.40     0.0157    5.79E-4     0.027    0.0191 0.3707  INDEF -84.49  INDEF  441.00  INDEF  297.00  INDEF -2.67E-4 5.6E-5  0.212 3.86173    4.51  0.0409  0.0394       13287.       14651.   -10.3   -10.4  97771 155397   -0.0243  0.0147    0.0245  0.0147   -0.0365  0.0154     0.103  0.0256  1089     0   1  4     INDEF   2.0
   51  244.64     0.0106    5.84E-4    0.0286    0.0202 0.3707  INDEF -84.49  INDEF  441.00  INDEF  297.00  INDEF -1.57E-4 3.3E-5  0.208 3.95485    4.93  0.0614  0.0581       13579.       14955.   -10.3   -10.4 118301 188001   -0.0495  0.0236    0.0933  0.0288    -0.092  0.0284    0.0466  0.0232  1198     0   1  4     INDEF   2.0
   52  269.10    0.00677    5.51E-4    0.0283      0.02 0.3707  INDEF -84.49  INDEF  441.00  INDEF  297.00  INDEF -8.74E-5 2.7E-5  0.311 4.05022    5.42  0.0922   0.085       13806.       15139.   -10.4   -10.5 143179 227509   -0.0675  0.0392    0.0355  0.0349    -0.173   0.063    0.0362  0.0347  1317     0   1  4     INDEF   2.0
   53  296.01    0.00442    4.80E-4    0.0258    0.0183 0.3707  INDEF -84.49  INDEF  441.00  INDEF  297.00  INDEF -3.35E-5 1.1E-5  0.319 4.14788    5.89   0.125   0.112       14671.       15291.   -10.4   -10.5 173217 275253    -0.202   0.094   -0.0706  0.0719     -0.18  0.0889     0.166  0.0863  1449     0   1  4     INDEF   2.0
